unit_id,defect_type,detected,detection_station_id,detection_time_s
UNIT-000027,assembly_defect,True,FA-09,4622.1700451081915
UNIT-000048,paint_defect,True,PT-06,4353.88728601487
UNIT-000080,assembly_defect,True,FA-09,7813.699029820782
UNIT-000250,assembly_defect,True,FA-09,18501.755643752196
UNIT-000309,paint_defect,True,PT-06,20266.192100666245
UNIT-000354,paint_defect,True,PT-06,23197.730816300158
UNIT-000358,paint_defect,True,PT-06,23344.071613053085
UNIT-000362,paint_defect,True,PT-06,23599.250696148592
UNIT-000370,assembly_defect,True,FA-09,26134.481387260526
UNIT-000371,paint_defect,False,,
UNIT-000402,paint_defect,True,PT-06,26195.265642368107
UNIT-000452,paint_defect,True,PT-06,29047.090339144313
UNIT-000454,paint_defect,True,PT-06,29102.899527850783
UNIT-000460,paint_defect,True,PT-06,29485.522131349717
UNIT-000469,weld_defect,True,FA-09,30066.842327328217
UNIT-000475,weld_defect,True,FA-09,29826.504147501648
UNIT-000490,paint_defect,True,PT-06,31872.221683734577
UNIT-000501,paint_defect,True,PT-06,31478.756508308998
UNIT-000531,paint_defect,True,PT-06,33519.75958323006
UNIT-000534,assembly_defect,True,FA-09,34977.26947315484
UNIT-000563,paint_defect,True,PT-06,35388.075140697656
UNIT-000585,assembly_defect,True,FA-09,38159.69987647189
UNIT-000614,assembly_defect,True,FA-09,39952.06136591569
UNIT-000623,paint_defect,True,PT-06,39308.694608457
UNIT-000683,assembly_defect,True,FA-09,43836.08526420047
UNIT-000690,weld_defect,True,FA-09,43484.90869866944
UNIT-000812,paint_defect,True,PT-06,50353.48381945059
UNIT-000824,paint_defect,True,PT-06,51218.46364344454
UNIT-000845,assembly_defect,False,,
UNIT-000851,weld_defect,False,,
UNIT-000946,paint_defect,True,PT-06,58163.621165061384
UNIT-000959,assembly_defect,True,FA-09,61091.46443520838
UNIT-000972,weld_defect,True,FA-09,60763.568874966295
UNIT-000993,weld_defect,True,FA-09,61447.81228735312
UNIT-001013,paint_defect,True,PT-06,62924.90786194835
UNIT-001027,assembly_defect,True,FA-09,64611.19408307938
UNIT-001046,assembly_defect,True,FA-09,66261.57601941457
UNIT-001048,weld_defect,True,FA-09,65383.701847879005
UNIT-001061,paint_defect,True,PT-06,65639.01785741854
UNIT-001074,paint_defect,False,,
UNIT-001088,weld_defect,True,FA-09,67426.91012670804
UNIT-001091,weld_defect,True,FA-09,68105.25212240676
UNIT-001093,assembly_defect,False,,
UNIT-001101,paint_defect,True,PT-06,67899.27080740468
UNIT-001114,weld_defect,True,FA-09,69176.25134776745
UNIT-001125,weld_defect,True,FA-09,69822.62533898103
UNIT-001126,weld_defect,True,FA-09,69242.66536911088
UNIT-001131,paint_defect,True,PT-06,69368.17805454369
UNIT-001164,assembly_defect,True,FA-09,73467.22105965506
UNIT-001189,assembly_defect,True,FA-09,74252.63662657863
UNIT-001251,assembly_defect,True,FA-09,78241.6870742684
UNIT-001345,weld_defect,True,FA-09,83390.4892263478
UNIT-001359,weld_defect,True,FA-09,83649.50138132829
UNIT-001371,assembly_defect,False,,
UNIT-001383,assembly_defect,True,FA-09,86049.57182575577
UNIT-001391,weld_defect,True,FA-09,85825.15110341617
UNIT-001410,assembly_defect,True,FA-09,88040.85971811399
UNIT-001419,assembly_defect,True,FA-09,87830.1415163317
UNIT-001438,assembly_defect,True,FA-09,88688.4676690459
UNIT-001520,weld_defect,True,FA-09,93549.57215227847
UNIT-001522,assembly_defect,True,FA-09,94320.85754352642
UNIT-001527,weld_defect,False,,
UNIT-001530,weld_defect,True,FA-09,93858.46364185904
UNIT-001538,weld_defect,True,FA-09,94626.71606508037
UNIT-001541,assembly_defect,True,FA-09,95833.30143249816
UNIT-001578,paint_defect,True,PT-06,96301.6906373795
UNIT-001585,paint_defect,True,PT-06,96804.34182806507
UNIT-001591,assembly_defect,True,FA-09,98648.91838113547
UNIT-001598,weld_defect,True,FA-09,98084.52484272797
UNIT-001669,assembly_defect,True,FA-09,103173.92176163412
UNIT-001680,assembly_defect,True,FA-09,103968.19158911509
UNIT-001703,assembly_defect,True,FA-09,105472.74329737018
UNIT-001753,weld_defect,True,FA-09,107472.29314210197
UNIT-001780,weld_defect,True,FA-09,108787.65468396469
UNIT-001822,assembly_defect,False,,
UNIT-001827,weld_defect,True,FA-09,111829.82317881056
UNIT-001828,assembly_defect,True,FA-09,113070.46773653007
UNIT-001848,paint_defect,True,PT-06,112568.8642348239
UNIT-001857,weld_defect,True,FA-09,114281.57657502711
UNIT-001858,paint_defect,True,PT-06,113590.93483775026
UNIT-001861,weld_defect,True,FA-09,114388.01724196822
UNIT-001872,paint_defect,True,PT-06,113841.27885370921
UNIT-001879,paint_defect,True,PT-06,114614.54556082883
UNIT-001883,weld_defect,True,FA-09,115308.84183205813
