unit_id,origin_station_id,defect_type,causes,created_time_s,gap_units
UNIT-000027,FA-05,assembly_defect,operator_variation_fa,2820.0,30.036167418469855
UNIT-000048,PT-05,paint_defect,operator_variation_pt05,3720.0,10.564788100247842
UNIT-000080,FA-05,assembly_defect,operator_variation_fa,6000.0,30.22831716367969
UNIT-000250,FA-08,assembly_defect,operator_variation_fa,16380.0,35.36259406253662
UNIT-000309,PT-05,paint_defect,operator_variation_pt05,19380.0,14.76986834443739
UNIT-000354,PT-05,paint_defect,operator_variation_pt05,22080.0,18.628846938335965
UNIT-000358,PT-03,paint_defect,ambient_paint,22200.0,19.067860217551456
UNIT-000362,PT-05,paint_defect,operator_variation_pt05,22560.0,17.32084493580985
UNIT-000370,FA-08,assembly_defect,operator_variation_fa,23580.0,42.57468978767546
UNIT-000371,PT-05,paint_defect,operator_variation_pt05,23100.0,
UNIT-000402,PT-01,paint_defect,ambient_paint,24720.0,24.587760706135114
UNIT-000452,PT-05,paint_defect,operator_variation_pt05,27960.0,18.118172319071867
UNIT-000454,PT-04,paint_defect,ambient_paint,28020.0,18.048325464179722
UNIT-000460,PT-02,paint_defect,ambient_paint,28260.0,20.425368855828626
UNIT-000469,BC-02,weld_defect,supplier_batch_bc02,28260.0,30.114038788803583
UNIT-000475,BC-02,weld_defect,supplier_batch_bc02,28620.0,20.108402458360793
UNIT-000490,PT-05,paint_defect,operator_variation_pt05,30240.0,27.20369472890959
UNIT-000501,PT-05,paint_defect,operator_variation_pt05,30900.0,9.645941805149977
UNIT-000531,PT-05,paint_defect,operator_variation_pt05,32700.0,13.662659720501019
UNIT-000534,FA-06,assembly_defect,operator_variation_fa,33300.0,27.954491219247274
UNIT-000563,PT-05,paint_defect,operator_variation_pt05,34620.0,12.801252344960945
UNIT-000585,FA-08,assembly_defect,operator_variation_fa,36480.0,27.994997941198193
UNIT-000614,FA-08,assembly_defect,operator_variation_fa,38220.0,28.86768943192817
UNIT-000623,PT-05,paint_defect,operator_variation_pt05,38220.0,18.144910140950024
UNIT-000683,FA-05,assembly_defect,operator_variation_fa,42180.0,27.601421070007756
UNIT-000690,BC-06,weld_defect,tool_wear_bc06,41760.0,28.748478311157267
UNIT-000812,PT-05,paint_defect,operator_variation_pt05,49560.0,13.224730324176408
UNIT-000824,PT-05,paint_defect,operator_variation_pt05,50280.0,15.641060724075711
UNIT-000845,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,51900.0,
UNIT-000851,BC-06,weld_defect,tool_wear_bc06,51420.0,
UNIT-000946,PT-05,paint_defect,operator_variation_pt05,57600.0,9.393686084356423
UNIT-000959,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,58740.0,39.191073920139665
UNIT-000972,BC-04,weld_defect,,58560.0,36.72614791610488
UNIT-000993,BC-04,weld_defect,,59820.0,27.130204789218602
UNIT-001013,PT-05,paint_defect,operator_variation_pt05,61620.0,21.74846436580578
UNIT-001027,FA-06,assembly_defect,operator_variation_fa,62880.0,28.853234717989746
UNIT-001046,FA-06,assembly_defect,operator_variation_fa,64020.0,37.359600323576274
UNIT-001048,BC-06,weld_defect,tool_wear_bc06,63240.0,35.72836413131675
UNIT-001061,PT-05,paint_defect,operator_variation_pt05,64500.0,18.98363095697567
UNIT-001074,PT-05,paint_defect,operator_variation_pt05,65280.0,
UNIT-001088,BC-04,weld_defect,supplier_batch_bc04,65520.0,31.781835445133936
UNIT-001091,BC-06,weld_defect,tool_wear_bc06,65820.0,38.0875353734461
UNIT-001093,FA-06,assembly_defect,operator_variation_fa,66840.0,
UNIT-001101,PT-05,paint_defect,operator_variation_pt05,66900.0,16.65451345674469
UNIT-001114,BC-04,weld_defect,supplier_batch_bc04,67080.0,34.93752246279087
UNIT-001125,BC-06,weld_defect,tool_wear_bc06,67860.0,32.71042231635049
UNIT-001126,BC-06,weld_defect,tool_wear_bc06,67920.0,22.044422818514658
UNIT-001131,PT-02,paint_defect,,68520.0,14.136300909061543
UNIT-001164,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,71040.0,40.45368432758437
UNIT-001189,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,72540.0,28.543943776310478
UNIT-001251,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,76260.0,33.028117904473376
UNIT-001345,BC-06,weld_defect,tool_wear_bc06,81060.0,38.841487105796716
UNIT-001359,BC-06,weld_defect,tool_wear_bc06,81900.0,29.158356355471465
UNIT-001371,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,83460.0,
UNIT-001383,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,84180.0,31.159530429262873
UNIT-001391,BC-06,weld_defect,tool_wear_bc06,83820.0,33.41918505693606
UNIT-001410,FA-06,assembly_defect,operator_variation_fa,85860.0,36.347661968566484
UNIT-001419,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,86340.0,24.835691938861636
UNIT-001438,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,87480.0,20.141127817431766
UNIT-001520,BC-06,weld_defect,tool_wear_bc06,91560.0,33.15953587130796
UNIT-001522,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,92520.0,30.014292392106963
UNIT-001527,BC-06,weld_defect,tool_wear_bc06,91980.0,
UNIT-001530,BC-06,weld_defect,tool_wear_bc06,92160.0,28.307727364317397
UNIT-001538,BC-06,weld_defect,tool_wear_bc06,92640.0,33.11193441800614
UNIT-001541,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,93660.0,36.22169054163608
UNIT-001578,PT-05,paint_defect,operator_variation_pt05,95520.0,13.028177289658505
UNIT-001585,PT-05,paint_defect,operator_variation_pt05,95940.0,14.405697134417792
UNIT-001591,FA-06,assembly_defect,operator_variation_fa,96720.0,32.148639685591185
UNIT-001598,BC-06,weld_defect,tool_wear_bc06,96240.0,30.742080712132918
UNIT-001669,FA-08,assembly_defect,operator_variation_fa,101520.0,27.56536269390205
UNIT-001680,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,102000.0,32.80319315191818
UNIT-001703,FA-06,assembly_defect,operator_variation_fa,103440.0,33.87905495616958
UNIT-001753,BC-02,weld_defect,supplier_batch_bc02,105300.0,36.204885701699475
UNIT-001780,BC-02,weld_defect,supplier_batch_bc02,106920.0,31.12757806607822
UNIT-001822,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,110520.0,
UNIT-001827,BC-06,weld_defect,tool_wear_bc06,109980.0,30.83038631350926
UNIT-001828,FA-05,assembly_defect,tool_wear_fa05;operator_variation_fa,110880.0,36.507795608834684
UNIT-001848,PT-02,paint_defect,ambient_paint,111540.0,17.147737247064864
UNIT-001857,BC-06,weld_defect,tool_wear_bc06,111780.0,41.692942917118486
UNIT-001858,PT-04,paint_defect,ambient_paint,112260.0,22.18224729583771
UNIT-001861,BC-06,weld_defect,tool_wear_bc06,112020.0,39.46695403280356
UNIT-001872,PT-02,paint_defect,ambient_paint,112980.0,14.354647561820158
UNIT-001879,PT-05,paint_defect,operator_variation_pt05,113580.0,17.242426013813844
UNIT-001883,BC-06,weld_defect,tool_wear_bc06,113340.0,32.814030534302184
