unit_id,variant_id,shift_id,sequence_number,start_time_s
UNIT-000000,SEDAN,SHIFT_1,0,0.0
UNIT-000001,SUV,SHIFT_1,1,60.0
UNIT-000002,SEDAN,SHIFT_1,2,120.0
UNIT-000003,SEDAN,SHIFT_1,3,180.0
UNIT-000004,SEDAN,SHIFT_1,4,240.0
UNIT-000005,SEDAN,SHIFT_1,5,300.0
UNIT-000006,SUV,SHIFT_1,6,360.0
UNIT-000007,SEDAN,SHIFT_1,7,420.0
UNIT-000008,SUV,SHIFT_1,8,480.0
UNIT-000009,SUV,SHIFT_1,9,540.0
UNIT-000010,SEDAN,SHIFT_1,10,600.0
UNIT-000011,SEDAN,SHIFT_1,11,660.0
UNIT-000012,SEDAN,SHIFT_1,12,720.0
UNIT-000013,SEDAN,SHIFT_1,13,780.0
UNIT-000014,SUV,SHIFT_1,14,840.0
UNIT-000015,SEDAN,SHIFT_1,15,900.0
UNIT-000016,SEDAN,SHIFT_1,16,960.0
UNIT-000017,SEDAN,SHIFT_1,17,1020.0
UNIT-000018,SEDAN,SHIFT_1,18,1080.0
UNIT-000019,SEDAN,SHIFT_1,19,1140.0
UNIT-000020,SEDAN,SHIFT_1,20,1200.0
UNIT-000021,SUV,SHIFT_1,21,1260.0
UNIT-000022,SUV,SHIFT_1,22,1320.0
UNIT-000023,SEDAN,SHIFT_1,23,1380.0
UNIT-000024,SUV,SHIFT_1,24,1440.0
UNIT-000025,SUV,SHIFT_1,25,1500.0
UNIT-000026,SUV,SHIFT_1,26,1560.0
UNIT-000027,SEDAN,SHIFT_1,27,1620.0
UNIT-000028,SEDAN,SHIFT_1,28,1680.0
UNIT-000029,SUV,SHIFT_1,29,1740.0
UNIT-000030,SUV,SHIFT_1,30,1800.0
UNIT-000031,SEDAN,SHIFT_1,31,1860.0
UNIT-000032,SUV,SHIFT_1,32,1920.0
UNIT-000033,SUV,SHIFT_1,33,1980.0
UNIT-000034,SEDAN,SHIFT_1,34,2040.0
UNIT-000035,SUV,SHIFT_1,35,2100.0
UNIT-000036,SEDAN,SHIFT_1,36,2160.0
UNIT-000037,SUV,SHIFT_1,37,2220.0
UNIT-000038,SUV,SHIFT_1,38,2280.0
UNIT-000039,SUV,SHIFT_1,39,2340.0
UNIT-000040,SEDAN,SHIFT_1,40,2400.0
UNIT-000041,SEDAN,SHIFT_1,41,2460.0
UNIT-000042,SEDAN,SHIFT_1,42,2520.0
UNIT-000043,SUV,SHIFT_1,43,2580.0
UNIT-000044,SEDAN,SHIFT_1,44,2640.0
UNIT-000045,SUV,SHIFT_1,45,2700.0
UNIT-000046,SUV,SHIFT_1,46,2760.0
UNIT-000047,SEDAN,SHIFT_1,47,2820.0
UNIT-000048,SEDAN,SHIFT_1,48,2880.0
UNIT-000049,SUV,SHIFT_1,49,2940.0
UNIT-000050,SEDAN,SHIFT_1,50,3000.0
UNIT-000051,SUV,SHIFT_1,51,3060.0
UNIT-000052,SUV,SHIFT_1,52,3120.0
UNIT-000053,SEDAN,SHIFT_1,53,3180.0
UNIT-000054,SUV,SHIFT_1,54,3240.0
UNIT-000055,SUV,SHIFT_1,55,3300.0
UNIT-000056,SUV,SHIFT_1,56,3360.0
UNIT-000057,SEDAN,SHIFT_1,57,3420.0
UNIT-000058,SEDAN,SHIFT_1,58,3480.0
UNIT-000059,SEDAN,SHIFT_1,59,3540.0
UNIT-000060,SEDAN,SHIFT_1,60,3600.0
UNIT-000061,SUV,SHIFT_1,61,3660.0
UNIT-000062,SEDAN,SHIFT_1,62,3720.0
UNIT-000063,SUV,SHIFT_1,63,3780.0
UNIT-000064,SUV,SHIFT_1,64,3840.0
UNIT-000065,SUV,SHIFT_1,65,3900.0
UNIT-000066,SUV,SHIFT_1,66,3960.0
UNIT-000067,SEDAN,SHIFT_1,67,4020.0
UNIT-000068,SEDAN,SHIFT_1,68,4080.0
UNIT-000069,SEDAN,SHIFT_1,69,4140.0
UNIT-000070,SUV,SHIFT_1,70,4200.0
UNIT-000071,SUV,SHIFT_1,71,4260.0
UNIT-000072,SEDAN,SHIFT_1,72,4320.0
UNIT-000073,SUV,SHIFT_1,73,4380.0
UNIT-000074,SEDAN,SHIFT_1,74,4440.0
UNIT-000075,SEDAN,SHIFT_1,75,4500.0
UNIT-000076,SEDAN,SHIFT_1,76,4560.0
UNIT-000077,SUV,SHIFT_1,77,4620.0
UNIT-000078,SEDAN,SHIFT_1,78,4680.0
UNIT-000079,SEDAN,SHIFT_1,79,4740.0
UNIT-000080,SEDAN,SHIFT_1,80,4800.0
UNIT-000081,SUV,SHIFT_1,81,4860.0
UNIT-000082,SEDAN,SHIFT_1,82,4920.0
UNIT-000083,SUV,SHIFT_1,83,4980.0
UNIT-000084,SUV,SHIFT_1,84,5040.0
UNIT-000085,SEDAN,SHIFT_1,85,5100.0
UNIT-000086,SEDAN,SHIFT_1,86,5160.0
UNIT-000087,SEDAN,SHIFT_1,87,5220.0
UNIT-000088,SUV,SHIFT_1,88,5280.0
UNIT-000089,SUV,SHIFT_1,89,5340.0
UNIT-000090,SUV,SHIFT_1,90,5400.0
UNIT-000091,SEDAN,SHIFT_1,91,5460.0
UNIT-000092,SUV,SHIFT_1,92,5520.0
UNIT-000093,SEDAN,SHIFT_1,93,5580.0
UNIT-000094,SEDAN,SHIFT_1,94,5640.0
UNIT-000095,SEDAN,SHIFT_1,95,5700.0
UNIT-000096,SUV,SHIFT_1,96,5760.0
UNIT-000097,SEDAN,SHIFT_1,97,5820.0
UNIT-000098,SUV,SHIFT_1,98,5880.0
UNIT-000099,SEDAN,SHIFT_1,99,5940.0
UNIT-000100,SUV,SHIFT_1,100,6000.0
UNIT-000101,SEDAN,SHIFT_1,101,6060.0
UNIT-000102,SEDAN,SHIFT_1,102,6120.0
UNIT-000103,SUV,SHIFT_1,103,6180.0
UNIT-000104,SEDAN,SHIFT_1,104,6240.0
UNIT-000105,SEDAN,SHIFT_1,105,6300.0
UNIT-000106,SEDAN,SHIFT_1,106,6360.0
UNIT-000107,SEDAN,SHIFT_1,107,6420.0
UNIT-000108,SEDAN,SHIFT_1,108,6480.0
UNIT-000109,SUV,SHIFT_1,109,6540.0
UNIT-000110,SEDAN,SHIFT_1,110,6600.0
UNIT-000111,SEDAN,SHIFT_1,111,6660.0
UNIT-000112,SEDAN,SHIFT_1,112,6720.0
UNIT-000113,SUV,SHIFT_1,113,6780.0
UNIT-000114,SUV,SHIFT_1,114,6840.0
UNIT-000115,SEDAN,SHIFT_1,115,6900.0
UNIT-000116,SEDAN,SHIFT_1,116,6960.0
UNIT-000117,SEDAN,SHIFT_1,117,7020.0
UNIT-000118,SEDAN,SHIFT_1,118,7080.0
UNIT-000119,SUV,SHIFT_1,119,7140.0
UNIT-000120,SUV,SHIFT_1,120,7200.0
UNIT-000121,SUV,SHIFT_1,121,7260.0
UNIT-000122,SUV,SHIFT_1,122,7320.0
UNIT-000123,SEDAN,SHIFT_1,123,7380.0
UNIT-000124,SUV,SHIFT_1,124,7440.0
UNIT-000125,SUV,SHIFT_1,125,7500.0
UNIT-000126,SEDAN,SHIFT_1,126,7560.0
UNIT-000127,SEDAN,SHIFT_1,127,7620.0
UNIT-000128,SEDAN,SHIFT_1,128,7680.0
UNIT-000129,SUV,SHIFT_1,129,7740.0
UNIT-000130,SEDAN,SHIFT_1,130,7800.0
UNIT-000131,SEDAN,SHIFT_1,131,7860.0
UNIT-000132,SUV,SHIFT_1,132,7920.0
UNIT-000133,SEDAN,SHIFT_1,133,7980.0
UNIT-000134,SEDAN,SHIFT_1,134,8040.0
UNIT-000135,SEDAN,SHIFT_1,135,8100.0
UNIT-000136,SUV,SHIFT_1,136,8160.0
UNIT-000137,SEDAN,SHIFT_1,137,8220.0
UNIT-000138,SUV,SHIFT_1,138,8280.0
UNIT-000139,SUV,SHIFT_1,139,8340.0
UNIT-000140,SUV,SHIFT_1,140,8400.0
UNIT-000141,SEDAN,SHIFT_1,141,8460.0
UNIT-000142,SEDAN,SHIFT_1,142,8520.0
UNIT-000143,SEDAN,SHIFT_1,143,8580.0
UNIT-000144,SUV,SHIFT_1,144,8640.0
UNIT-000145,SUV,SHIFT_1,145,8700.0
UNIT-000146,SEDAN,SHIFT_1,146,8760.0
UNIT-000147,SUV,SHIFT_1,147,8820.0
UNIT-000148,SEDAN,SHIFT_1,148,8880.0
UNIT-000149,SEDAN,SHIFT_1,149,8940.0
UNIT-000150,SUV,SHIFT_1,150,9000.0
UNIT-000151,SEDAN,SHIFT_1,151,9060.0
UNIT-000152,SUV,SHIFT_1,152,9120.0
UNIT-000153,SUV,SHIFT_1,153,9180.0
UNIT-000154,SEDAN,SHIFT_1,154,9240.0
UNIT-000155,SUV,SHIFT_1,155,9300.0
UNIT-000156,SEDAN,SHIFT_1,156,9360.0
UNIT-000157,SUV,SHIFT_1,157,9420.0
UNIT-000158,SUV,SHIFT_1,158,9480.0
UNIT-000159,SEDAN,SHIFT_1,159,9540.0
UNIT-000160,SEDAN,SHIFT_1,160,9600.0
UNIT-000161,SEDAN,SHIFT_1,161,9660.0
UNIT-000162,SEDAN,SHIFT_1,162,9720.0
UNIT-000163,SEDAN,SHIFT_1,163,9780.0
UNIT-000164,SEDAN,SHIFT_1,164,9840.0
UNIT-000165,SEDAN,SHIFT_1,165,9900.0
UNIT-000166,SUV,SHIFT_1,166,9960.0
UNIT-000167,SUV,SHIFT_1,167,10020.0
UNIT-000168,SEDAN,SHIFT_1,168,10080.0
